Title3,Following Perseus,Greek,English,Benjamin Jowett,Schleiermacher,Primary translation,Literal translation,Secondary translation
0059-003|164.|Cr. 49c.9.,0059-003|163.|Cr. 49c.8.,Κρίτων. ἀληθῆ λέγεις.,Crito. That is true.,Cr. Very true.,Kriton: Wahr gesprochen!,کریتون: درست می‌گویی.,کریتون: حقیقت می‌گویی.,کریتون: راست می‌گویی.
0059-003|165.|Cr. 49c.10.,0059-003|164.|Cr. 49c.9.,"Σωκράτης. οὔτε ἄρα ἀνταδικεῖν δεῖ οὔτε κακῶς ποιεῖν οὐδένα ἀνθρώπων, οὐδ᾽ ἂν ὁτιοῦν πάσχῃ ὑπ᾽ αὐτῶν. ","Socrates. Then we ought neither to requite wrong with wrong nor to do evil to anyone, no matter what he may have done to us. ","Soc. Then we ought not to retaliate or render evil for evil to anyone, whatever evil we may have suffered from him. ","Sokrates: Also weder wiederbeleidigen darf man, noch irgend einen Menschen mißhandeln, und wenn man auch von ihm erleidet, was es immer sei. ",سقراط: پس نه بایستی بی‌عدالتی را تلافی کرد و نه در حق هیچ انسانی شرارت کرد، صرف نظر از آنچه که از جانب آنان بر ما رفته باشد؛,سقراط: پس نه بیداد را تلافی کردن می‌بایست و نه به هیچ انسانی بدی کردن، صرف نظر از هر آنچه که از جانب آنان متحمل گردد؛,سقراط: بنابراین نه مقابله به مثل عمل نادرست جایز است و نه شر رساندن به هیچ یک از آدمیان، حتی اگر از جانب ایشان رنجی بر ما رفته باشد؛
0059-003|166.|Cr. 49d.1.,0059-003|165.|Cr. 49c.10.,"καὶ ὅρα, ὦ Κρίτων, ταῦτα καθομολογῶν, ὅπως μὴ παρὰ δόξαν ὁμολογῇς: ","And be careful, Crito, that you do not, in agreeing to this, agree to something you do not believe; ","But I would have you consider, Crito, whether you really mean what you are saying. ","Und siehe wohl zu, Kriton, wenn du dies eingestehst, daß du es nicht gegen deine Meinung eingestehst! ",و بنگر، ای کریتون، که با پذیرفتن این‌ها خلاف عقیده‌‌ی خود توافقی نکرده باشی.,و بنگر، ای کریتون، که این‌ها را پذیرفته، خلاف نظرت هم‌رایی نکرده باشی.,و درنگر، ای کریتون، که با قبول این‌ها خلاف پندار خود توافقی نکرده باشی.
0059-003|167.|Cr. 49d.2.,0059-003|166.|Cr. 49d.1.,οἶδα γὰρ ὅτι ὀλίγοις τισὶ ταῦτα καὶ δοκεῖ καὶ δόξει. ,for I know that there are few who believe or ever will believe this. ,"For this opinion has never been held, and never will be held, by any considerable number of persons; ","Denn ich weiß wohl, daß nur wenige dieses glauben und glauben werden. ",چرا که می‌دانم اندک کسانی این‌ها را باور دارند و خواهند داشت.,زیرا می‌دانم که اندک کسانی این‌ها را باور دارند و باور خواهند داشت.,زیرا می‌دانم که افراد قلیلی این گونه می‌اندیشند و خواهند اندیشید.
0059-003|168.|Cr. 49d.3.,0059-003|167.|Cr. 49d.2.,"οἷς οὖν οὕτω δέδοκται καὶ οἷς μή, τούτοις οὐκ ἔστι κοινὴ βουλή, ἀλλὰ ἀνάγκη τούτους ἀλλήλων καταφρονεῖν ὁρῶντας ἀλλήλων τὰ βουλεύματα.","Now those who believe this, and those who do not, have no common ground of discussion, but they must necessarily, in view of their opinions, despise one another.","and those who are agreed and those who are not agreed upon this point have no common ground, and can only despise one another, when they see how widely they differ. ","Welche also dies annehmen, und welche nicht, für die gibt es keine gemeinschaftliche Beratschlagung; sondern sie müssen notwendig einander gering achten, wenn einer des andern Entschließungen sieht.",حال کسانی که چنین معتقدند و کسانی که نه، آنان را بنیاد مشترکی در بحث نیست، بلکه ناگزیرند که با دیدن آرا دیگری، یکدیگر را به دیده تحقیر بنگرند.,حال کسانی که این را باور دارند و کسانی که نه، آنان را مذاکره‌ی مشترکی نیست، بلکه آنان نیات یکدیگر را دیده، از خوار شمردن یکدیگر ناگریزند.,در واقع کسانی که بدین باورند و کسانی که نه، زمینه‌ی مشترکی ندارند، بلکه ضرورتا با دیدن غرض دیگری، همدیگر را خوار می‌شمارند. 
0059-003|169.|Cr. 49d.4.,0059-003|168.|Cr. 49d.3.,"σκόπει δὴ οὖν καὶ σὺ εὖ μάλα πότερον κοινωνεῖς καὶ συνδοκεῖ σοι καὶ ἀρχώμεθα ἐντεῦθεν βουλευόμενοι, ὡς οὐδέποτε ὀρθῶς ἔχοντος οὔτε τοῦ ἀδικεῖν οὔτε τοῦ ἀνταδικεῖν οὔτε κακῶς πάσχοντα ἀμύνεσθαι ἀντιδρῶντα κακῶς, ἢ ἀφίστασαι καὶ οὐ κοινωνεῖς τῆς ἀρχῆς; ","Do you therefore consider very carefully whether you agree and share in this opinion, and let us take as the the starting point of our discussion the assumption that it is never right to do wrong or to requite wrong with wrong, or when we suffer evil to defend ourselves by doing evil in return. Or do you disagree and refuse your assent to this starting point? ","Tell me, then, whether you agree with and assent to my first principle, that neither injury nor retaliation nor warding off evil by evil is ever right. And shall that be the premise of our agreement? Or do you decline and dissent from this? ","Überlege also auch du recht wohl, ob du Gemeinschaft mit mir machst und dies auch annimmst und wir hiervon unsere Beratung anfangen wollen, daß niemals weder beleidigen noch wiederbeleidigen recht ist, noch auch, wenn einem Übles geschieht, sich dadurch helfen, daß man wieder Übles zufügt; oder ob du abstehst und du keinen Teil haben willst an diesem Anfang? ",پس اکنون تو نیز به درستی و تمامی بسنج که آیا متفق و هم‌نظری‌، و آنگاه مباحثه را از اینجا آغاز کنیم که نه بی‌عدالتی کردن، نه بی‌عدالتی را تلافی کردن و نه در مقام دفاع با ارتکاب شر انتقام گرفتن هرگز درست نیست، یا اینکه احتراز می‌کنی و با این سرآغاز هم‌نظر نیستی؟,پس حال تو نیز بس نیک بیازما که آیا تو متفق و هم‌نظری‌، و تامل کرده، از اینجا بیاغازیم که نه بیداد کردن و نه بیداد را تلافی کردن و نه بدی دیده، با مقابله به مثل بدی انتقام گرفتن هرگز درست نیست، یا احتراز می‌کنی و با این سرآغاز متفق نیستی؟,بنابراین تو نیز به نیکی و با دقت بررسی کن که آیا همراه و هم‌عقیده‌‌ای، و آنگاه بحث را از این نقطه آغاز کنیم که نه عمل نادرست، نه مقابله به مثل نادرستی و نه تقاص گرفتن شرارت‌دیده با ارتکاب شر هرگز درست نیست، یا مخالفی و با این اصل آغازین همراه نمی‌شوی؟
0059-003|170.|Cr. 49e.1.,0059-003|169.|Cr. 49d.4.,"ἐμοὶ μὲν γὰρ καὶ πάλαι οὕτω καὶ νῦν ἔτι δοκεῖ, σοὶ δὲ εἴ πῃ ἄλλῃ δέδοκται, λέγε καὶ δίδασκε. ","For I have long held this belief and I hold it yet, but if you have reached any other conclusion, speak and explain it to me. ","For this has been of old and is still my opinion; but, if you are of another opinion, let me hear what you have to say. ","Ich meinesteils habe schon immer dieses angenommen und auch jetzt noch. Du aber, nimmst du irgend etwas anderes an, so sprich und trage es vor: ", چرا که دیری است که من بر این باورم و اکنون نیز، لیکن اگر تو باور دیگری داری بگو و شرح کن., زیرا دیری است که مرا باور چنین است و اکنون نیز، اما اگر به هر روی تو را باور دیگر است بگو و تعلیم ده.,زیرا من دیر زمانی است که چنین می‌اندیشم و هنوز هم، اما اگر تو را هر اندیشه‌ی دیگری هست، بگوی و شرح کن.
0059-003|171.|Cr. 49e.2.,0059-003|170.|Cr. 49e.1.,"εἰ δ᾽ ἐμμένεις τοῖς πρόσθε, τὸ μετὰ τοῦτο ἄκουε.","If you still hold to our former opinion, hear the next point.","If, however, you remain of the same mind as formerly, I will proceed to the next step.","bleibst du aber bei dem Ehemaligen, so höre nun das Weitere!",اما اگر به سخنان پیشین ما پایبندی، این سخن بعدی را بشنو.,اما اگر به آن [سخنان] پیشین پایبندی، آن بعدی را بشنو.,پس اگر بر سر رای پیشین ما مانده‌ای، به نکته بعدی گوش فرا ده.
0059-003|172.|Cr. 49e.3.,0059-003|171.|Cr. 49e.2.,Κρίτων. ἀλλ᾽ ἐμμένω τε καὶ συνδοκεῖ μοι: ,Crito. I do hold to it and I agree with you; ,"Cr. You may proceed, for I have not changed my mind.",Kriton: Allerdings bleibe ich dabei und nehme es mit dir an.,کریتون: پایبندم و نیز هم‌نظرم.,کریتون: البته که من پایبندم و نیز هم‌نظرم.,کریتون: البته که برآنم و هم‌عقیده.
0059-003|173.|Cr. 49e.4.,0059-003|172.|Cr. 49e.3.,ἀλλὰ λέγε.,so go on.,%In Previous sentence%,Also rede!, پس بگو.,لیک بگو.,پس بگوی.
0059-003|174.|Cr. 49e.5.,0059-003|173.|Cr. 49e.4.,"Σωκράτης. λέγω δὴ αὖ τὸ μετὰ τοῦτο, μᾶλλον δ᾽ ἐρωτῶ: ","Socrates. Now the next thing I say, or rather ask, is this: ","Soc. Then I will proceed to the next step, which may be put in the form of a question: ","Sokrates: Ich sage also hierauf weiter, oder vielmehr ich frage, ",سقراط: پس سخن بعدی را باز می‌گویم، یا به عبارت بهتر، می‌پرسم؛,سقراط: حال این [سخن] بعدی را باز می‌گویم، یا بهتر، می‌پرسم؛,سقراط: حال نکته‌ی بعد را می‌گویم، یا به بیانی بهتر می‌پرسم؛
0059-003|175.|Cr. 49e.6.,0059-003|174.|Cr. 49e.5.,πότερον ἃ ἄν τις ὁμολογήσῃ τῳ δίκαια ὄντα ποιητέον ἢ ἐξαπατητέον;,"“ought a man to do what he has agreed to do, provided it is right, or may he violate his agreements?”","Ought a man to do what he admits to be right, or ought he to betray the right?","ob, was jemand jemandem Gerechtes versprochen hat, er auch leisten müsse, oder ob er betrügen dürfe?",آیا فرد باید به آنچه موافقت کرده که عادلانه است عمل کند یا باید تزویر کند؟,آیا فرد بایستی به آنچه به دادگرانه بودنش هم‌رای گشته باشد عمل کند یا باید تزویر کند؟,آیا فرد باید به آنچه که موافقت کرده درست است عمل کند یا دغل کند؟
0059-003|176.|Cr. 49e.7.,0059-003|175.|Cr. 49e.6.,Κρίτων. ποιητέον.,Crito. He ought to do it.,Cr. He ought to do what he thinks right.,Kriton: Leisten muß er es.,کریتون: باید عمل کند.,کریتون: بایستی عمل کند.,کریتون: باید عمل کند.
0059-003|177.|Cr. 49e.8.,0059-003|176.|Cr. 49e.7.,Σωκράτης. ἐκ τούτων δὴ ἄθρει. ,"Socrates. Then consider whether, ","Soc. But if this is true, what is the application? ",Sokrates: Von hier aus nun schaue um: ,سقراط: اکنون با در نظر گرفتنِ این‌ها بسنج:,سقراط: حال از این [منظر] بنگر،,سقراط: پس با در نظر گرفتنِ این‌ها تامل کن.
0059-003|178.|Cr. 50a.1.,0059-003|177.|Cr. 49e.8.,"ἀπιόντες ἐνθένδε ἡμεῖς μὴ πείσαντες τὴν πόλιν πότερον κακῶς τινας ποιοῦμεν, καὶ ταῦτα οὓς ἥκιστα δεῖ, ἢ οὔ;","if we go away from here without the consent of the state, we are doing harm to the very ones to whom we least ought to do harm, or not,","In leaving the prison against the will of the Athenians, do I wrong any? or rather do I not wrong those whom I ought least to wrong? ","Wenn wir, ohne die Stadt zu überreden, von hier weggehn, behandeln wir dann jemanden schlecht, und zwar die, welchen es am wenigsten geschehen sollte, oder nicht? ",اگر ما بی مُجاب کردن شهر این‌جا را ترک گوییم آیا در حق کسی شرارت می‌کنیم، آن هم کسانی که مستحق کمترین بدی هستند، یا نه؟,[اگر] ما از اینجا رفته و پولیس را متقاعد نکرده، آیا به کسی بدی می‌کنیم، و [آن] هم در حق کسانی که کمترین [بدی] را می‌باید، یا نه؟,آیا برون رفتن ما از اینجا بی اجازه دولت‌شهر ارتکاب شر در قبال کسانی است که بایستی کمترین بدی در حق‌شان صورت گیرد، یا خیر؟ 
0059-003|179.|Cr. 50a.2.,0059-003|178.|Cr. 50a.1.,καὶ ἐμμένομεν οἷς ὡμολογήσαμεν δικαίοις οὖσιν ἢ οὔ;,"and whether we are abiding by what we agreed was right, or not.",Do I not desert the principles which were acknowledged by us to be just? What do you say?,"Und halten wir fest an den, was wir Gerechtes versprochen haben, oder nicht?",و آیا به آنچه که توافق کردیم عادلانه است پایبندیم، یا نه؟,و پایبندیم به آنچه هم‌رای گشتیم [که] دادگرانه بوده، یا نه؟,و ما بر سر آنچه توافق کردیم که درست است ایستاده‌ایم، یا خیر؟
0059-003|180.|Cr. 50a.3.,0059-003|179.|Cr. 50a.2.,"Κρίτων. οὐκ ἔχω, ὦ Σώκρατες, ἀποκρίνασθαι πρὸς ὃ ἐρωτᾷς: ","Crito. I cannot answer your question, Socrates, ","Cr. I cannot tell, Socrates, ","Kriton: Darauf weiß ich nicht zu antworten, Sokrates, was du fragtest: ",کریتون: ای سقراط، پاسخی برای این پرسش ندارم.,کریتون: پاسخی ندارم، ای سقراط، برای آنچه می‌پرسی.,کریتون: ای سقراط، پاسخی در باب آنچه می‌پرسی ندارم.
0059-003|181.|Cr. 50a.4.,0059-003|180.|Cr. 50a.3.,οὐ γὰρ ἐννοῶ.,for I do not understand.,for I do not know.,denn ich verstehe es nicht.,چرا که آن را نمی‌فهمم.,چرا که درک نمی‌کنم.,زیرا درکش نمی‌کنم.
0059-003|182.|Cr. 50a.5.,0059-003|181.|Cr. 50a.4.,Σωκράτης. ἀλλ᾽ ὧδε σκόπει. ,Socrates. Consider it in this way. ,Soc. Then consider the matter in this way: ,Sokrates: Erwäge es denn so: ,سقراط: پس این را بسنج.,سقراط: باری چنین بیازما.,سقراط: پس این را بررسی کن.
0059-003|183.|Cr. 50a.6.,0059-003|182.|Cr. 50a.5.,"εἰ μέλλουσιν ἡμῖν ἐνθένδε εἴτε ἀποδιδράσκειν, εἴθ᾽ ὅπως δεῖ ὀνομάσαι τοῦτο, ἐλθόντες οἱ νόμοι καὶ τὸ κοινὸν τῆς πόλεως ἐπιστάντες ἔροιντο: ","If, as I was on the point of running away (or whatever it should be called), the laws and the commonwealth should come to me and ask, ","Imagine that I am about to play truant (you may call the proceeding by any name which you like), and the laws and the government come and interrogate me: ","Wenn, indem wir von hier davonlaufen wollten, oder wie man dies sonst nennen soll, die Gesetze kämen und das gemeine Wesen dieser Stadt, und uns in den Weg tretend fragten:",اگر قصد داریم از اینجا فرار کنیم، یا هرچه که بایستی این کار را بنامیم، قوانین و شهروندان شهر آمده، مقابل ما ایستاده و خواهند پرسید:,اگر ما قصد گریختن از اینجا را داریم، یا هرآنچه بایسته است نامیدن آن، قوانین و عموم پولیس آمده، دربرابر [ما] ایستاده و بپرسند:,اگر بر آن شویم که از اینجا درگریزیم، یا هر آنچه که بایسته است بنامیمش، قوانین و جمهور دولت‌شهر آمده، دربرابر ما قد علم کرده و خواهند پرسید:
0059-003|184.|Cr. 50a.7.,0059-003|183.|Cr. 50a.6.,"‘εἰπέ μοι, ὦ Σώκρατες, τί ἐν νῷ ἔχεις ποιεῖν; ","“Tell me, Socrates, what have you in mind to do? ","""Tell us, Socrates,"" they say; ""what are you about? ","»Sage nur, Sokrates, was hast du im Sinne zu tun? ",«ای سقراط، مرا بگوی که انجام چه کاری را در سر داری؟,«به من بگو، ای سقراط، انجام دادن چه کاری را در ذهن داری؟,مرا بگوی ای سقراط ! سرِ انجامِ چه داری؟
0059-003|185.|Cr. 50b.1.,0059-003|184.|Cr. 50a.7.,ἄλλο τι ἢ τούτῳ τῷ ἔργῳ ᾧ ἐπιχειρεῖς διανοῇ τούς τε νόμους ἡμᾶς ἀπολέσαι καὶ σύμπασαν τὴν πόλιν τὸ σὸν μέρος; ,"Are you not intending by this thing you are trying to do, to destroy us, the laws, and the entire state, so far as in you lies? ","are you going by an act of yours to overturn us- the laws and the whole State, as far as in you lies? ","Ist es nicht so, daß du durch diese Tat, welche du unternimmst, uns, den Gesetzen, und also dem ganzen Staat den Untergang zu bereiten gedenkst, soviel an dir ist?",غیر از این است که با دست یازیدن بدین کار قصد داری ما قوانین و نیز همه‌ی شهر را در حد توان خود نابود سازی؟,جز این که با این کاری که بدان دست می‌یازی قصد داری ما قوانین و همه‌ی پولیس را به سهم خود نابود سازی؟,جز این است که با آهنگ بدین کار، می‌خواهی ما قوانین و کل دولت‌شهر را تا بدانجا که از تو برآید تباه سازی؟
0059-003|186.|Cr. 50b.2.,0059-003|185.|Cr. 50b.1.,"ἢ δοκεῖ σοι οἷόν τε ἔτι ἐκείνην τὴν πόλιν εἶναι καὶ μὴ ἀνατετράφθαι, ἐν ᾗ ἂν αἱ γενόμεναι δίκαι μηδὲν ἰσχύωσιν ἀλλὰ ὑπὸ ἰδιωτῶν ἄκυροί τε γίγνωνται καὶ διαφθείρωνται;’","Or do you think that state can exist and not be overturned, in which the decisions reached by the courts have no force but are made invalid and annulled by private persons?”","Do you imagine that a State can subsist and not be overthrown, in which the decisions of law have no power, but are set aside and overthrown by individuals?""","Oder dünkt es dich möglich, daß jener Staat noch bestehe und nicht in gänzliche Zerrüttung gerate, in welchem die abgetanen Rechtssachen keine Kraft haben, sondern von Einzelmännern können ungültig gemacht und umgestoßen werden?«",یا می‌پنداری شهری که در آن احکام صادره اقتداری نداشته باشد بلکه به‌دستِ عوام بی‌اعتبار شده و ملغی گردد، می‌تواند بر جای بماند و فرو نپاشد؟»,یا به نظرت می‌رسد که چه‌بسا [ممکن است] بودن و سرنگون نشدن آن پولیسی که در آن که احکام صادر شده هیچ قدرتی نداشته، بلکه به‌دستِ عوام بی‌اقتدار گشته و تباه شود؟»,یا می‌پنداری دولت‌شهری که در آن که احکام صادر‌ه هیچ قدرتی نداشته بلکه از سوی اشخاص، بی‌اقتدار گشته و تباه شود، می‌تواند بر جای بماند و سرنگون نشود؟»
0059-003|187.|Cr. 50b.3.,0059-003|186.|Cr. 50b.2.,"τί ἐροῦμεν, ὦ Κρίτων, πρὸς ταῦτα καὶ ἄλλα τοιαῦτα; ","What shall we say, Crito, in reply to this question and others of the same kind? ","What will be our answer, Crito, to these and the like words? ","Was sollen wir hierauf und auf mehr dergleichen sagen, Kriton? ",ای کریتون، در برابر این‌ها و امثال این‌ها چه بگوییم؟,چه خواهیم گفت، ای کریتون، در برابر این‌ها و دیگر [سوالاتی] از این دست؟,چه گوییم، ای کریتون، در پاسخ به این و نظایر این‌ها؟
0059-003|188.|Cr. 50b.4.,0059-003|187.|Cr. 50b.3.,"πολλὰ γὰρ ἄν τις ἔχοι, ἄλλως τε καὶ ῥήτωρ, εἰπεῖν ὑπὲρ τούτου τοῦ νόμου ἀπολλυμένου ὃς τὰς δίκας τὰς δικασθείσας προστάττει κυρίας εἶναι. ","For one might say many things, especially if one were an orator, about the destruction of that law which provides that the decisions reached by the courts shall be valid. ","Anyone, and especially a clever rhetorician, will have a good deal to urge about the evil of setting aside the law which requires a sentence to be carried out; ","Denn noch gar vieles könnte einer, und zumal ein Redner, vorbringen zum Besten dieses gefährdeten Gesetzes, welches befiehlt, daß die geschlichteten Rechtssachen sollen gültig bleiben.",چرا که هر کس، به ویژه یک خطیب، می‌تواند در دفاع از این قانون تباه شده که مقتدر بودن احکام داوری شده را مقرر می‌کند دلیل بسیار بیاورد.,چرا که هر کس، و خاصه یک سخنور، بسیار برای گفتن داشته باشد در باب این قانون نابود گشته که مقتدر بودن احکام حکم‌ شده را مقرر می‌کند.,چرا که هر کس، خاصه یک سخنور، درباره‌ی باطل شدن قانونی که خود، اعتبار احکام اتخاذ شده را معین می‌کند بسیار برای گفتن دارد.
0059-003|189.|Cr. 50c.1.,0059-003|188.|Cr. 50b.4.,ἢ ἐροῦμεν πρὸς αὐτοὺς ὅτι ‘ἠδίκει γὰρ ἡμᾶς ἡ πόλις καὶ οὐκ ὀρθῶς τὴν δίκην ἔκρινεν;’ ,"Or shall we say to them, “The state wronged me and did not judge the case rightly”? ","and we might reply, ""Yes; but the State has injured us and given an unjust sentence.""","Oder sollen wir zu ihnen sagen: »Ja, die Stadt hat uns Unrecht getan und die Klage nicht recht gerichtet?«",یا به آنان خواهیم گفت «از این رو که شهر در حق ما بی‌عدالتی کرده و محکمه را به‌ درستی داوری نکرده است»؟,یا به آن‌ها خواهیم گفت که « زیرا پولیس در حق ما بیداد می‌کرد و حکم را به‌ درستی تمییز نمی‌داد»؟,یا آیا به آنان می‌گوییم «از این رو که دولت‌شهر بر ما ستم کرده و حکم را به ناحق داوری نموده است»؟
0059-003|190.|Cr. 50c.2.,0059-003|189.|Cr. 50c.1.,ταῦτα ἢ τί ἐροῦμεν;,"Shall we say that, or what?",Suppose I say that?,"Wollen wir dies sagen, oder was sonst?",این‌ها را خواهیم گفت یا چه؟,این‌ها را خواهیم گفت، یا چه؟,این را می‌گوییم یا چه؟
0059-003|191.|Cr. 50c.3.,0059-003|190.|Cr. 50c.2.,"Κρίτων. ταῦτα νὴ Δία, ὦ Σώκρατες.","Crito. That is what we shall say, by Zeus, Socrates.","Cr. Very good, Socrates.","Kriton: Dies, beim Zeus!",کریتون: سوگند به زئوس که همین‌ها را، ای سقراط!,کریتون: [سوگند] به زئوس که این‌ها را، ای سقراط!,کریتون: به زئوس سوگند که همین‌ها را، ای سقراط!
0059-003|192.|Cr. 50c.4.,0059-003|191.|Cr. 50c.3.,Σωκράτης. τί οὖν ἂν εἴπωσιν οἱ νόμοι: ,"Socrates. What then if the laws should say, ",%In the next sentence%,Sokrates: Wie nun? Wenn die Gesetze sagten: ,سقراط: حال چه می‌شود اگر قوانین بگویند:,سقراط: حال چه [می‌شود] اگر قوانین بگویند:,سقراط: باری چه شود اگر قوانین بگویند:
0059-003|193.|Cr. 50c.5.,0059-003|192.|Cr. 50c.4.,"‘ὦ Σώκρατες, ἦ καὶ ταῦτα ὡμολόγητο ἡμῖν τε καὶ σοί, ἢ ἐμμενεῖν ταῖς δίκαις αἷς ἂν ἡ πόλις δικάζῃ;’ ","“Socrates, is this the agreement you made with us, or did you agree to abide by the verdicts pronounced by the state?” ","Soc. ""And was that our agreement with you?"" the law would say, ""or were you to abide by the sentence of the State?"" ","»O Sokrates, war denn auch das unser Abkommen, oder vielmehr du wollest dich dabei beruhigen, wie die Stadt die Rechtssachen schlichtet?« ",«ای سقراط، آیا ما با تو بر سر این موافقت کرده بودیم یا بر سر پایبندی به احکامی که شهر داوری بکند؟»,«ای سقراط، آیا ما و نیز تو بر سر این‌ها هم‌رای گشته بودیم یا [بر سر] پایبند بودن بر احکامی که پولیس داوری کند؟»,«ای سقراط، آیا ما و تو این توافق را کرده بودیم یا پایبندی بر احکامی که دولت‌شهر اتخاذ کند؟»
0059-003|194.|Cr. 50c.6.,0059-003|193.|Cr. 50c.5.,"εἰ οὖν αὐτῶν θαυμάζοιμεν λεγόντων, ἴσως ἂν εἴποιεν ὅτι ‘ὦ Σώκρατες, μὴ θαύμαζε τὰ λεγόμενα ἀλλ᾽ ἀποκρίνου, ἐπειδὴ καὶ εἴωθας χρῆσθαι τῷ ἐρωτᾶν τε καὶ ἀποκρίνεσθαι. ","Now if I were surprised by what they said, perhaps they would continue, “Don't be surprised at what we say, Socrates, but answer, since you are in the habit of employing the method of question and answer. ","And if I were to express astonishment at their saying this, the law would probably add: ""Answer, Socrates, instead of opening your eyes: you are in the habit of asking and answering questions. ","Wenn wir uns nun über ihre Rede wunderten, würden sie vielleicht sagen: »Wundere dich nicht, Sokrates, über das Gesagte, sondern antworte, da du ja gewohnt bist, in Fragen und Antworten zu reden! ",حال اگر از گفته‌ی آن‌ها به شگفت آییم، چه‌بسا بگویند که: «ای سقراط، از گفته‌های ما شگفت‌زده مشو، بلکه پاسخ ده، تو که عادت به بکارگیری پرسش و پاسخ داری.»,حال اگر از گفته‌ی آن‌ها به شگفت آییم، چه‌بسا بگویند که: «ای سقراط، از این گفته‌ها در شگفت نباش، بلکه پاسخ ده، از آنجایی‌ که به استفاده کردن از پرسیدن و نیز پاسخ گفتن خو گرفته‌ای.»,آنگاه اگر از گفته‌ی آنان به حیرت آییم، شاید بگویند که: «ای سقراط، از این سخنان حیرت مکن بلکه پاسخ ده، چرا که تو به حربه‌ی پرسش و پاسخ خو گرفته‌ای.»
0059-003|195.|Cr. 50d.1.,0059-003|194.|Cr. 50c.6.,"φέρε γάρ, τί ἐγκαλῶν ἡμῖν καὶ τῇ πόλει ἐπιχειρεῖς ἡμᾶς ἀπολλύναι;","Come, what fault do you find with us and the state, that you are trying to destroy us? ",Tell us what complaint you have to make against us which justifies you in attempting to destroy us and the State? ,"Denn sprich: Welche Beschwerden hast du gegen uns und die Stadt, daß du suchst, uns zugrunde zu richten?",پس درنگر، چه شکایتی از ما و شهر داری که به نابودی ما دست‌ می‌یازی؟,پس بنگر، چه گله‌ای از ما و پولیس داشته که به نابود ساختن ما دست‌ می‌یازی؟,پس دریاب، چه شکایتی از ما و دولت‌شهر داری که در صددِ تباه ساختن ما بر آمده‌ای؟
0059-003|196.|Cr. 50d.2.,0059-003|195.|Cr. 50d.1.,"οὐ πρῶτον μέν σε ἐγεννήσαμεν ἡμεῖς, καὶ δι᾽ ἡμῶν ἔλαβε τὴν μητέρα σου ὁ πατὴρ καὶ ἐφύτευσέν σε; ","In the first place, did we not bring you forth? Is it not through us that your father married your mother and begat you? ",In the first place did we not bring you into existence? Your father married your mother by our aid and begat you. ,"Sind wir es nicht zuerst, die dich zur Welt gebracht haben, und durch welche dein Vater deine Mutter bekommen und dich gezeugt hat? ",مگر در آغاز ما نبودیم که تو را هستی بخشیدیم و از رهگذر ما نبود که پدرت مادرت را سِتاند و تو را زاد؟,مگر نخست ما تو را هستی نبخشیدیم و به‌ واسطه‌ی ما پدرت مادر تو را گرفت و تو را زاد؟,مگر نخست ما تو را از نیست به هست نیاوردیم و به واسطه‌ی ما نبود که پدرت مادرت را به همسری گرفت و تو را به دنیا آورد؟
0059-003|197.|Cr. 50d.3.,0059-003|196.|Cr. 50d.2.,"φράσον οὖν, τούτοις ἡμῶν, τοῖς νόμοις τοῖς περὶ τοὺς γάμους, μέμφῃ τι ὡς οὐ καλῶς ἔχουσιν;’","Now tell us, have you any fault to find with those of us who are the laws of marriage?” ","Say whether you have any objection to urge against those of us who regulate marriage?"" ","Erkläre also, tadelst du etwas an denen unter uns Gesetzen, die sich auf die Ehe beziehen, was nicht gut wäre?« – ",اینک بگو در میان ما، در قوانینِ راجع به ازدواج از چیزی شکوه‌ داری که ناشایست باشد؟»,اینک بیان کن از آنانی از ما، در قوانینِ پیرامون ازدواج از چیزی شکوه‌ای داری که نیکو نباشد؟»,حال بگو در برخی از ما، در قوانینِ راجع به ازدواج از چیزی که ناشایست باشد شکایتی داری؟»
0059-003|198.|Cr. 50d.4.,0059-003|197.|Cr. 50d.3.,"‘οὐ μέμφομαι,’ φαίην ἄν. ","“I find no fault,” I should say. ","None, I should reply.","»Nichts tadle ich,« würde ich dann sagen.",خواهم گفت: «شکوه‌ای ندارم».,خواهم گفت: «شکوه‌ای ندارم»., اقرار می‌کنم: «شکایتی ندارم».
0059-003|199.|Cr. 50d.5.,0059-003|198.|Cr. 50d.4.,‘ἀλλὰ τοῖς περὶ τὴν τοῦ γενομένου τροφήν τε καὶ παιδείαν ἐν ᾗ καὶ σὺ ἐπαιδεύθης;,"“Or with those that have to do with the nurture of the child after he is born and with his education which you, like others, received? ","""Or against those of us who regulate the system of nurture and education of children in which you were trained? ","– »Aber an den Gesetzen über des Geborenen Auferziehung und Unterricht, nach denen auch du bist unterrichtet worden? ",«یا از قوانین راجع به بار آوردن و تربیت فرزندان که تو نیز طبق آن تربیت گشته‌ای؟,«یا از آنانی که پیرامون پرورش و نیز آموزشِ زادگان [هستند که] تو نیز در آن آموزش یافتی؟,«یا از قوانین راجع به پرورش و آموزش فرزندان که تو نیز طبق آن آموزش یافته‌ای؟
