value,word_value,space_after,position,ve_ref,idx
διαίρεσιν,διαίρεσιν,,16,49.t16,1246
καὶ,καὶ,,17,49.t17,1247
ἀνάλυσιν,ἀνάλυσιν,false,18,49.t18,1248
",",",",,19,49.t19,1249
ὁ,ὁ,,20,49.t20,1250
πικρὸς,πικρὸς,,21,49.t21,1251
τῶν,τῶν,,22,49.t22,1252
λεγομένων,λεγομένων,,23,49.t23,1253
ἀκροατής,ἀκροατής,false,24,49.t24,1254
;,;,,25,49.t25,1255
τί,τί,,1,50.t1,1256
δικαστὰς,δικαστὰς,,2,50.t2,1257
τοὺς,τοὺς,,3,50.t3,1258
κατηγόρους,κατηγόρους,,4,50.t4,1259
καθίζομεν,καθίζομεν,false,5,50.t5,1260
;,;,,6,50.t6,1261
τί,τί,,1,51.t1,1262
τὰ,τὰ,,2,51.t2,1263
ξίφη,ξίφη,,3,51.t3,1264
τοῖς,τοῖς,,4,51.t4,1265
ἐχθροῖς,ἐχθροῖς,,5,51.t5,1266
ἐγχειρίξομεν,ἐγχειρίξομεν,false,6,51.t6,1267
;,;,,7,51.t7,1268
πῶς,πῶς,false,1,52.t1,1269
",",",",,2,52.t2,1270
οἴει,οἴει,false,3,52.t3,1271
",",",",,4,52.t4,1272
δέξεται,δέξεται,,5,52.t5,1273
τὸν,τὸν,,6,52.t6,1274
περὶ,περὶ,,7,52.t7,1275
τούτων,τούτων,,8,52.t8,1276
λόγον,λόγον,false,9,52.t9,1277
",",",",,10,52.t10,1278
ἢ,ἢ,,11,52.t11,1279
μεθ’,μεθ’,,12,52.t12,1280
οἵας,οἵας,,13,52.t13,1281
τῆς,τῆς,,14,52.t14,1282
διανοίας,διανοίας,false,15,52.t15,1283
",",",",,16,52.t16,1284
ὁ,ὁ,,17,52.t17,1285
τὰς,τὰς,,18,52.t18,1286
μοιχείας,μοιχείας,,19,52.t19,1287
ἐπαινῶν,ἐπαινῶν,,20,52.t20,1288
καὶ,καὶ,,21,52.t21,1289
τὰς,τὰς,,22,52.t22,1290
παιδοφθορίας,παιδοφθορίας,false,23,52.t23,1291
",",",",,24,52.t24,1292
καὶ,καὶ,,25,52.t25,1293
προσκυνῶν,προσκυνῶν,,26,52.t26,1294
τὰ,τὰ,,27,52.t27,1295
πάθη,πάθη,false,28,52.t28,1296
",",",",,29,52.t29,1297
καὶ,καὶ,,30,52.t30,1298
μηδὲν,μηδὲν,,31,52.t31,1299
ὑπὲρ,ὑπὲρ,,32,52.t32,1300
τὸ,τὸ,,33,52.t33,1301
σῶμα,σῶμα,,34,52.t34,1302
διανοηθῆναι,διανοηθῆναι,,35,52.t35,1303
δυνάμενος,δυνάμενος,false,36,52.t36,1304
",",",",,37,52.t37,1305
ὁ,ὁ,,38,52.t38,1306
χθὲς,χθὲς,,39,52.t39,1307
καὶ,καὶ,,40,52.t40,1308
πρώην,πρώην,,41,52.t41,1309
ἑαυτῷ,ἑαυτῷ,,42,52.t42,1310
στήσας,στήσας,,43,52.t43,1311
θεούς,θεούς,false,44,52.t44,1312
",",",",,45,52.t45,1313
καὶ,καὶ,,46,52.t46,1314
τούτους,τούτους,,47,52.t47,1315
ἐπὶ,ἐπὶ,,48,52.t48,1316
τοῖς,τοῖς,,49,52.t49,1317
αἰσχίστοις,αἰσχίστοις,,50,52.t50,1318
γνωριξομένους,γνωριξομένους,false,51,52.t51,1319
;,;,,52,52.t52,1320
οὐχ,οὐχ,,1,53.t1,1321
ὑλικῶς,ὑλικῶς,false,2,53.t2,1322
;,;,,3,53.t3,1323
οὐκ,οὐκ,,1,54.t1,1324
αἰσχρῶς,αἰσχρῶς,false,2,54.t2,1325
;,;,,3,54.t3,1326
οὐκ,οὐκ,,1,55.t1,1327
ἀμαθῶς,ἀμαθῶς,false,2,55.t2,1328
;,;,,3,55.t3,1329
οὐχ,οὐχ,,1,56.t1,1330
ὡς,ὡς,,2,56.t2,1331
εἴωθεν,εἴωθεν,false,3,56.t3,1332
;,;,,4,56.t4,1333
οὐ,οὐ,,1,57.t1,1334
συνήγορον,συνήγορον,,2,57.t2,1335
τῶν,τῶν,,3,57.t3,1336
οἰκείων,οἰκείων,,4,57.t4,1337
θεῶν,θεῶν,,5,57.t5,1338
καὶ,καὶ,,6,57.t6,1339
παθῶν,παθῶν,,7,57.t7,1340
τὴν,τὴν,,8,57.t8,1341
σὴν,σὴν,,9,57.t9,1342
θεολογίαν,θεολογίαν,,10,57.t10,1343
ποιήσεται,ποιήσεται,false,11,57.t11,1344
;,;,,12,57.t12,1345
εἰ,εἰ,,1,58.t1,1346
γὰρ,γὰρ,,2,58.t2,1347
αὐτοὶ,αὐτοὶ,,3,58.t3,1348
ταῖς,ταῖς,,4,58.t4,1349
φωναῖς,φωναῖς,,5,58.t5,1350
ταύταις,ταύταις,,6,58.t6,1351
ἐπηρεάζομεν,ἐπηρεάζομεν,false,7,58.t7,1352
",",",",,8,58.t8,1353
σχολῇ,σχολῇ,,9,58.t9,1354
γ’,γ’,,10,58.t10,1355
ἂν,ἂν,,11,58.t11,1356
ἐκείνους,ἐκείνους,,12,58.t12,1357
πείσαιμεν,πείσαιμεν,,13,58.t13,1358
φιλοσοφεῖν,φιλοσοφεῖν,,14,58.t14,1359
ἐν,ἐν,,15,58.t15,1360
τοῖς,τοῖς,,16,58.t16,1361
ἡμετέροις,ἡμετέροις,false,17,58.t17,1362
·,·,,18,58.t18,1363
καὶ,καὶ,,1,59.t1,1364
εἰ,εἰ,,2,59.t2,1365
παρ’,παρ’,,3,59.t3,1366
ἑαυτῶν,ἑαυτῶν,,4,59.t4,1367
εἰσὶν,εἰσὶν,,5,59.t5,1368
ἐφευρεταὶ,ἐφευρεταὶ,,6,59.t6,1369
κακῶν,κακῶν,false,7,59.t7,1370
",",",",,8,59.t8,1371
πότε,πότε,,9,59.t9,1372
ἂν,ἂν,,10,59.t10,1373
τῶν,τῶν,,11,59.t11,1374
διδομένων,διδομένων,,12,59.t12,1375
ἀπόσχοιντο,ἀπόσχοιντο,false,13,59.t13,1376
;,;,,14,59.t14,1377
ταῦτα,ταῦτα,,1,60.t1,1378
ἡμῖν,ἡμῖν,,2,60.t2,1379
ὁ,ὁ,,3,60.t3,1380
πρὸς,πρὸς,,4,60.t4,1381
ἀλλήλους,ἀλλήλους,,5,60.t5,1382
πόλεμος,πόλεμος,false,6,60.t6,1383
.,.,,7,60.t7,1384
ταῦτα,ταῦτα,,1,61.t1,1385
οἱ,οἱ,,2,61.t2,1386
πλεῖον,πλεῖον,,3,61.t3,1387
ὑπὲρ,ὑπὲρ,,4,61.t4,1388
τοῦ,τοῦ,,5,61.t5,1389
λόγου,λόγου,,6,61.t6,1390
μαχόμενοι,μαχόμενοι,false,7,61.t7,1391
",",",",,8,61.t8,1392
ἢ,ἢ,,9,61.t9,1393
ὅσον,ὅσον,,10,61.t10,1394
ἀρέσκει,ἀρέσκει,,11,61.t11,1395
τῷ,τῷ,,12,61.t12,1396
Λόγῳ,Λόγῳ,false,13,61.t13,1397
",",",",,14,61.t14,1398
καὶ,καὶ,,15,61.t15,1399
ταὐτὸν,ταὐτὸν,,16,61.t16,1400
πάσχοντες,πάσχοντες,,17,61.t17,1401
τοῖς,τοῖς,,18,61.t18,1402
μαινομένοις,μαινομένοις,false,19,61.t19,1403
",",",",,20,61.t20,1404
οἳ,οἳ,,21,61.t21,1405
τοὺς,τοὺς,,22,61.t22,1406
ἰδίους,ἰδίους,,23,61.t23,1407
οἴκους,οἴκους,,24,61.t24,1408
ἀνάπτουσιν,ἀνάπτουσιν,false,25,61.t25,1409
",",",",,26,61.t26,1410
ἢ,ἢ,,27,61.t27,1411
τοὺς,τοὺς,,28,61.t28,1412
παῖδας,παῖδας,,29,61.t29,1413
σπαράττουσιν,σπαράττουσιν,false,30,61.t30,1414
",",",",,31,61.t31,1415
ἢ,ἢ,,32,61.t32,1416
τοὺς,τοὺς,,33,61.t33,1417
γονέας,γονέας,,34,61.t34,1418
περιωθοῦσιν,περιωθοῦσιν,false,35,61.t35,1419
",",",",,36,61.t36,1420
ὡς,ὡς,,37,61.t37,1421
ἀλλοτρίους,ἀλλοτρίους,,38,61.t38,1422
νομίζοντες,νομίζοντες,false,39,61.t39,1423
.,.,,40,61.t40,1424
Ἐπεὶ,Ἐπεὶ,,1,62.t1,1425
δὲ,δὲ,,2,62.t2,1426
ἀπεσκευασάμεθα,ἀπεσκευασάμεθα,,3,62.t3,1427
τοῦ,τοῦ,,4,62.t4,1428
λόγου,λόγου,,5,62.t5,1429
τὸ,τὸ,,6,62.t6,1430
ἀλλότριον,ἀλλότριον,false,7,62.t7,1431
",",",",,8,62.t8,1432
καὶ,καὶ,,9,62.t9,1433
εἰς,εἰς,,10,62.t10,1434
τὴν,τὴν,,11,62.t11,1435
ἀγέλην,ἀγέλην,,12,62.t12,1436
τῶν,τῶν,,13,62.t13,1437
χοίρων,χοίρων,,14,62.t14,1438
ἀπεπεμψάμεθα,ἀπεπεμψάμεθα,,15,62.t15,1439
τὸν,τὸν,,16,62.t16,1440
πολὺν,πολὺν,,17,62.t17,1441
λεγεῶνα,λεγεῶνα,,18,62.t18,1442
κατὰ,κατὰ,,19,62.t19,1443
βυθῶν,βυθῶν,,20,62.t20,1444
χωρήσαντα,χωρήσαντα,false,21,62.t21,1445
",",",",,22,62.t22,1446
ὃ,ὃ,,23,62.t23,1447
δεύτερόν,δεύτερόν,,24,62.t24,1448
ἐστι,ἐστι,false,25,62.t25,1449
",",",",,26,62.t26,1450
πρὸς,πρὸς,,27,62.t27,1451
ἡμᾶς,ἡμᾶς,,28,62.t28,1452
αὐτοὺς,αὐτοὺς,,29,62.t29,1453
ἴδωμεν,ἴδωμεν,false,30,62.t30,1454
",",",",,31,62.t31,1455
καὶ,καὶ,,32,62.t32,1456
ξέσωμεν,ξέσωμεν,,33,62.t33,1457
εἰς,εἰς,,34,62.t34,1458
κάλλος,κάλλος,false,35,62.t35,1459
",",",",,36,62.t36,1460
ὥσπερ,ὥσπερ,,37,62.t37,1461
ἀνδριάντα,ἀνδριάντα,false,38,62.t38,1462
",",",",,39,62.t39,1463
τὸν,τὸν,,40,62.t40,1464
θεόλογον,θεόλογον,false,41,62.t41,1465
.,.,,42,62.t42,1466
ἐκεῖνο,ἐκεῖνο,,1,63.t1,1467
δὲ,δὲ,,2,63.t2,1468
πρῶτον,πρῶτον,,3,63.t3,1469
λογισώμεθα,λογισώμεθα,false,4,63.t4,1470
",",",",,5,63.t5,1471
τίς,τίς,,6,63.t6,1472
ἡ,ἡ,,7,63.t7,1473
τοσαύτη,τοσαύτη,,8,63.t8,1474
περὶ,περὶ,,9,63.t9,1475
τὸν,τὸν,,10,63.t10,1476
λόγον,λόγον,,11,63.t11,1477
φιλοτιμία,φιλοτιμία,,12,63.t12,1478
καὶ,καὶ,,13,63.t13,1479
γλωσσαλγία,γλωσσαλγία,false,14,63.t14,1480
;,;,,15,63.t15,1481
τίς,τίς,,1,64.t1,1482
ἡ,ἡ,,2,64.t2,1483
καινὴ,καινὴ,,3,64.t3,1484
νόσος,νόσος,,4,64.t4,1485
αὕτη,αὕτη,,5,64.t5,1486
καὶ,καὶ,,6,64.t6,1487
ἀπληστία,ἀπληστία,false,7,64.t7,1488
;,;,,8,64.t8,1489
τί,τί,,1,65.t1,1490
τὰς,τὰς,,2,65.t2,1491
χεῖρας,χεῖρας,,3,65.t3,1492
δήσαντες,δήσαντες,,4,65.t4,1493
τὰς,τὰς,,5,65.t5,1494
γλώσσας,γλώσσας,,6,65.t6,1495
ὡπλίσαμεν,ὡπλίσαμεν,false,7,65.t7,1496
;,;,,8,65.t8,1497
οὐ,οὐ,,1,66.t1,1498
φιλοξενίαν,φιλοξενίαν,,2,66.t2,1499
ἐπαινοῦμεν,ἐπαινοῦμεν,false,3,66.t3,1500
;,;,,4,66.t4,1501
οὐ,οὐ,,1,67.t1,1502
φιλαδελφίαν,φιλαδελφίαν,false,2,67.t2,1503
",",",",,3,67.t3,1504
οὐ,οὐ,,4,67.t4,1505
φιλανδρίαν,φιλανδρίαν,false,5,67.t5,1506
",",",",,6,67.t6,1507
οὐ,οὐ,,7,67.t7,1508
παρθενίαν,παρθενίαν,false,8,67.t8,1509
",",",",,9,67.t9,1510
οὐ,οὐ,,10,67.t10,1511
πτωχοτροΦίαν,πτωχοτροΦίαν,,11,67.t11,1512
θαυμάζομεν,θαυμάζομεν,false,12,67.t12,1513
;,;,,13,67.t13,1514
οὐ,οὐ,,1,68.t1,1515
ψαλμῳδίαν,ψαλμῳδίαν,false,2,68.t2,1516
",",",",,3,68.t3,1517
οὐ,οὐ,,4,68.t4,1518
πάννυχον,πάννυχον,,5,68.t5,1519
στάσιν,στάσιν,false,6,68.t6,1520
",",",",,7,68.t7,1521
οὐ,οὐ,,8,68.t8,1522
δάκρυον,δάκρυον,false,9,68.t9,1523
;,;,,10,68.t10,1524
οὐ,οὐ,,1,69.t1,1525
τὸ,τὸ,,2,69.t2,1526
σῶμα,σῶμα,,3,69.t3,1527
νηστείαις,νηστείαις,,4,69.t4,1528
ὑποπιέζομεν,ὑποπιέζομεν,false,5,69.t5,1529
;,;,,6,69.t6,1530
οὐ,οὐ,,1,70.t1,1531
δι’,δι’,,2,70.t2,1532
εὐχῆς,εὐχῆς,,3,70.t3,1533
πρὸς,πρὸς,,4,70.t4,1534
θεὸν,θεὸν,,5,70.t5,1535
ἐκδημοῦμεν,ἐκδημοῦμεν,false,6,70.t6,1536
;,;,,7,70.t7,1537
οὐ,οὐ,,1,71.t1,1538
τῷ,τῷ,,2,71.t2,1539
κρείττονι,κρείττονι,,3,71.t3,1540
τὸ,τὸ,,4,71.t4,1541
χεῖρον,χεῖρον,,5,71.t5,1542
ὑποζεύγνυμεν,ὑποζεύγνυμεν,false,6,71.t6,1543
",",",",,7,71.t7,1544
τὸν,τὸν,,8,71.t8,1545
χοῦν,χοῦν,,9,71.t9,1546
λέγω,λέγω,,10,71.t10,1547
τῷ,τῷ,,11,71.t11,1548
πνεύματι,πνεύματι,false,12,71.t12,1549
",",",",,13,71.t13,1550
ὡς,ὡς,,14,71.t14,1551
ἂν,ἂν,,15,71.t15,1552
οἱ,οἱ,,16,71.t16,1553
τῷ,τῷ,,17,71.t17,1554
κράματι,κράματι,,18,71.t18,1555
δικαίως,δικαίως,,19,71.t19,1556
δικάζοντες,δικάζοντες,false,20,71.t20,1557
;,;,,21,71.t21,1558
οὐ,οὐ,,1,72.t1,1559
μελέτην,μελέτην,,2,72.t2,1560
θανάτου,θανάτου,,3,72.t3,1561
τὸν,τὸν,,4,72.t4,1562
βίον,βίον,,5,72.t5,1563
ποιούμεθα,ποιούμεθα,false,6,72.t6,1564
;,;,,7,72.t7,1565
οὐ,οὐ,,1,73.t1,1566
τῶν,τῶν,,2,73.t2,1567
παθῶν,παθῶν,,3,73.t3,1568
δεσπόται,δεσπόται,,4,73.t4,1569
καθιστάμεθα,καθιστάμεθα,false,5,73.t5,1570
",",",",,6,73.t6,1571
μεμνημένοι,μεμνημένοι,,7,73.t7,1572
τῆς,τῆς,,8,73.t8,1573
ἄνωθεν,ἄνωθεν,,9,73.t9,1574
εὐγενείας,εὐγενείας,false,10,73.t10,1575
;,;,,11,73.t11,1576
οὐ,οὐ,,1,74.t1,1577
θυμὸν,θυμὸν,,2,74.t2,1578
τιθασσεύομεν,τιθασσεύομεν,,3,74.t3,1579
ἐξοιδοῦντα,ἐξοιδοῦντα,,4,74.t4,1580
καὶ,καὶ,,5,74.t5,1581
ἀγριαίνοντα,ἀγριαίνοντα,false,6,74.t6,1582
;,;,,7,74.t7,1583
οὐκ,οὐκ,,1,75.t1,1584
ἔπαρσιν,ἔπαρσιν,,2,75.t2,1585
κάτα,κάτα,,3,75.t3,1586
βάλλουσαν,βάλλουσαν,false,4,75.t4,1587
",",",",,5,75.t5,1588
οὐ,οὐ,,6,75.t6,1589
λύπην,λύπην,,7,75.t7,1590
ἀλόγιστον,ἀλόγιστον,false,8,75.t8,1591
",",",",,9,75.t9,1592
οὐχ,οὐχ,,10,75.t10,1593
ἡδονὴν,ἡδονὴν,,11,75.t11,1594
ἀπαίδευτον,ἀπαίδευτον,false,12,75.t12,1595
",",",",,13,75.t13,1596
οὐ,οὐ,,14,75.t14,1597
γέλωτα,γέλωτα,,15,75.t15,1598
πορνικόν,πορνικόν,false,16,75.t16,1599
",",",",,17,75.t17,1600
οὐκ,οὐκ,,18,75.t18,1601
ὄψιν,ὄψιν,,19,75.t19,1602
ἄτακτον,ἄτακτον,false,20,75.t20,1603
",",",",,21,75.t21,1604
οὐκ,οὐκ,,22,75.t22,1605
ἀκοὴν,ἀκοὴν,,23,75.t23,1606
ἄπληστον,ἄπληστον,false,24,75.t24,1607
",",",",,25,75.t25,1608
οὐ,οὐ,,26,75.t26,1609
λόγον,λόγον,,27,75.t27,1610
ἄμετρον,ἄμετρον,false,28,75.t28,1611
",",",",,29,75.t29,1612
οὐ,οὐ,,30,75.t30,1613
διάνοιαν,διάνοιαν,,31,75.t31,1614
ἔκτοπον,ἔκτοπον,false,32,75.t32,1615
",",",",,33,75.t33,1616
οὐχ,οὐχ,,34,75.t34,1617
ὅσα,ὅσα,,35,75.t35,1618
παρ’,παρ’,,36,75.t36,1619
ἡμῶν,ἡμῶν,,37,75.t37,1620
ὁ,ὁ,,38,75.t38,1621
πονηρὸς,πονηρὸς,,39,75.t39,1622
καθ’,καθ’,,40,75.t40,1623
ἡμῶν,ἡμῶν,,41,75.t41,1624
λαμβάνει,λαμβάνει,false,42,75.t42,1625
",",",",,43,75.t43,1626
τὸν,τὸν,,44,75.t44,1627
διὰ,διὰ,,45,75.t45,1628
τῶν,τῶν,,46,75.t46,1629
θυρίδων,θυρίδων,false,47,75.t47,1630
",",",",,48,75.t48,1631
ὡς,ὡς,,49,75.t49,1632
ἡ,ἡ,,50,75.t50,1633
γραφή,γραφή,,51,75.t51,1634
φησιν,φησιν,false,52,75.t52,1635
",",",",,53,75.t53,1636
εἴτουν,εἴτουν,,54,75.t54,1637
αἰσθητηρίων,αἰσθητηρίων,false,55,75.t55,1638
",",",",,56,75.t56,1639
εἰσάγων,εἰσάγων,,57,75.t57,1640
θάνατον,θάνατον,false,58,75.t58,1641
;,;,,59,75.t59,1642
πᾶν,πᾶν,,1,76.t1,1643
μὲν,μὲν,,2,76.t2,1644
οὖν,οὖν,,3,76.t3,1645
τοὐ,τοὐ,false,4,76.t4,1646
ναντίον,ναντίον,false,5,76.t5,1647
",",",",,6,76.t6,1648
καὶ,καὶ,,7,76.t7,1649
τοῖς,τοῖς,,8,76.t8,1650
ἄλλων,ἄλλων,,9,76.t9,1651
πάθεσιν,πάθεσιν,,10,76.t10,1652
ἐλευθερίαν,ἐλευθερίαν,,11,76.t11,1653
δεδώκαμεν,δεδώκαμεν,false,12,76.t12,1654
",",",",,13,76.t13,1655
ὥσπερ,ὥσπερ,,14,76.t14,1656
οἱ,οἱ,,15,76.t15,1657
βασιλεῖς,βασιλεῖς,,16,76.t16,1658
τὰς,τὰς,,17,76.t17,1659
ἐπινικίους,ἐπινικίους,,18,76.t18,1660
ἀφέσεις,ἀφέσεις,false,19,76.t19,1661
",",",",,20,76.t20,1662
μόνον,μόνον,,21,76.t21,1663
ἂν,ἂν,,22,76.t22,1664
πρὸς,πρὸς,,23,76.t23,1665
ἡμᾶς,ἡμᾶς,,24,76.t24,1666
νεύωσι,νεύωσι,false,25,76.t25,1667
",",",",,26,76.t26,1668
καὶ,καὶ,,27,76.t27,1669
κατὰ,κατὰ,,28,76.t28,1670
θεοῦ,θεοῦ,,29,76.t29,1671
φέρωνται,φέρωνται,,30,76.t30,1672
θρασύτερον,θρασύτερον,false,31,76.t31,1673
·,·,,32,76.t32,1674
καὶ,καὶ,,1,77.t1,1675
κακὸν,κακὸν,,2,77.t2,1676
οὐ,οὐ,,3,77.t3,1677
καλοῦ,καλοῦ,,4,77.t4,1678
πράγματος,πράγματος,,5,77.t5,1679
μισθὸν,μισθὸν,,6,77.t6,1680
ἀντιδίδομεν,ἀντιδίδομεν,false,7,77.t7,1681
",",",",,8,77.t8,1682
τῆς,τῆς,,9,77.t9,1683
ἀσεβείας,ἀσεβείας,,10,77.t10,1684
τὴν,τὴν,,11,77.t11,1685
παρρησίαν,παρρησίαν,false,12,77.t12,1686
.,.,,13,77.t13,1687
Καίτοιγε,Καίτοιγε,false,1,78.t1,1688
",",",",,2,78.t2,1689
ὦ,ὦ,,3,78.t3,1690
διαλεκτικὲ,διαλεκτικὲ,,4,78.t4,1691
καὶ,καὶ,,5,78.t5,1692
λάλε,λάλε,false,6,78.t6,1693
",",",",,7,78.t7,1694
ἐρωτήσω,ἐρωτήσω,,8,78.t8,1695
σέ,σέ,,9,78.t9,1696
τι,τι,,10,78.t10,1697
μικρόν,μικρόν,false,11,78.t11,1698
·,·,,12,78.t12,1699
Σὺ,Σὺ,,1,79.t1,1700
δὲ,δὲ,,2,79.t2,1701
ἀπόκριναί,ἀπόκριναί,false,3,79.t3,1702
",",",",,4,79.t4,1703
φησι,φησι,,5,79.t5,1704
τῷ,τῷ,,6,79.t6,1705
Ἰὼβ,Ἰὼβ,,7,79.t7,1706
ὁ,ὁ,,8,79.t8,1707
διὰ,διὰ,,9,79.t9,1708
λαίλαπος,λαίλαπος,,10,79.t10,1709
καὶ,καὶ,,11,79.t11,1710
νεφῶν,νεφῶν,,12,79.t12,1711
χρηματίζων,χρηματίζων,false,13,79.t13,1712
.,.,,14,79.t14,1713
πότερον,πότερον,,1,80.t1,1714
πολλαὶ,πολλαὶ,,2,80.t2,1715
μοναὶ,μοναὶ,,3,80.t3,1716
παρὰ,παρὰ,,4,80.t4,1717
τῷ,τῷ,,5,80.t5,1718
Θεῷ,Θεῷ,false,6,80.t6,1719
",",",",,7,80.t7,1720
ὅπερ,ὅπερ,,8,80.t8,1721
ἀκούεις,ἀκούεις,false,9,80.t9,1722
",",",",,10,80.t10,1723
ἢ,ἢ,,11,80.t11,1724
μία,μία,false,12,80.t12,1725
;,;,,13,80.t13,1726
πολλαί,πολλαί,false,1,81.t1,1727
",",",",,2,81.t2,1728
δώσεις,δώσεις,,3,81.t3,1729
δηλαδή,δηλαδή,false,4,81.t4,1730
",",",",,5,81.t5,1731
καὶ,καὶ,,6,81.t6,1732
οὐ,οὐ,,7,81.t7,1733
μία,μία,false,8,81.t8,1734
.,.,,9,81.t9,1735
πότερον,πότερον,,1,82.t1,1736
δὲ,δὲ,,2,82.t2,1737
πληρωθῆναι,πληρωθῆναι,,3,82.t3,1738
δεῖ,δεῖ,,4,82.t4,1739
πάσας,πάσας,false,5,82.t5,1740
",",",",,6,82.t6,1741
ἢ,ἢ,,7,82.t7,1742
τὰς,τὰς,,8,82.t8,1743
μέν,μέν,false,9,82.t9,1744
",",",",,10,82.t10,1745
τὰς,τὰς,,11,82.t11,1746
δὲ,δὲ,,12,82.t12,1747
οὐ,οὐ,false,13,82.t13,1748
",",",",,14,82.t14,1749
ὡς,ὡς,,15,82.t15,1750
εἶναι,εἶναι,,16,82.t16,1751
κενὰς,κενὰς,,17,82.t17,1752
καὶ,καὶ,,18,82.t18,1753
μάτην,μάτην,,19,82.t19,1754
ἡτοιμασμένας,ἡτοιμασμένας,false,20,82.t20,1755
;,;,,21,82.t21,1756
ναὶ,ναὶ,,1,83.t1,1757
πάσας,πάσας,false,2,83.t2,1758
·,·,,3,83.t3,1759
οὐδὲν,οὐδὲν,,1,84.t1,1760
γὰρ,γὰρ,,2,84.t2,1761
εἰκῇ,εἰκῇ,,3,84.t3,1762
τῶν,τῶν,,4,84.t4,1763
παρὰ,παρὰ,,5,84.t5,1764
θεοῦ,θεοῦ,,6,84.t6,1765
γενομένων,γενομένων,false,7,84.t7,1766
.,.,,8,84.t8,1767
ταύτην,ταύτην,,1,85.t1,1768
δὲ,δὲ,,2,85.t2,1769
ὅ,ὅ,,3,85.t3,1770
τί,τί,,4,85.t4,1771
ποτε,ποτε,,5,85.t5,1772
θήσεις,θήσεις,,6,85.t6,1773
τὴν,τὴν,,7,85.t7,1774
μονήν,μονήν,false,8,85.t8,1775
",",",",,9,85.t9,1776
ἔχοις,ἔχοις,,10,85.t10,1777
ἂν,ἂν,,11,85.t11,1778
εἰπεῖν,εἰπεῖν,false,12,85.t12,1779
;,;,,13,85.t13,1780
ἄρα,ἄρα,,1,86.t1,1781
τὴν,τὴν,,2,86.t2,1782
ἐκεῖθεν,ἐκεῖθεν,,3,86.t3,1783
ἀνάπαυσίν,ἀνάπαυσίν,,4,86.t4,1784
τε,τε,,5,86.t5,1785
καὶ,καὶ,,6,86.t6,1786
δόξαν,δόξαν,,7,86.t7,1787
τὴν,τὴν,,8,86.t8,1788
ἀποκειμένην,ἀποκειμένην,,9,86.t9,1789
τοῖς,τοῖς,,10,86.t10,1790
μακαρίοις,μακαρίοις,false,11,86.t11,1791
",",",",,12,86.t12,1792
ἢ,ἢ,,13,86.t13,1793
ἄλλο,ἄλλο,,14,86.t14,1794
τι,τι,false,15,86.t15,1795
;,;,,16,86.t16,1796
οὐκ,οὐκ,,1,87.t1,1797
ἄλλο,ἄλλο,,2,87.t2,1798
ἢ,ἢ,,3,87.t3,1799
τοῦτο,τοῦτο,false,4,87.t4,1800
.,.,,5,87.t5,1801
ἐπειδὴ,ἐπειδὴ,,1,88.t1,1802
τοῦτο,τοῦτο,,2,88.t2,1803
ὡμολογήσαμεν,ὡμολογήσαμεν,false,3,88.t3,1804
",",",",,4,88.t4,1805
κἀκεῖνο,κἀκεῖνο,,5,88.t5,1806
προσεξετάσωμεν,προσεξετάσωμεν,false,6,88.t6,1807
.,.,,7,88.t7,1808
ἔστι,ἔστι,,1,89.t1,1809
τι,τι,,2,89.t2,1810
τὸ,τὸ,,3,89.t3,1811
ταύτας,ταύτας,,4,89.t4,1812
προξενοῦν,προξενοῦν,,5,89.t5,1813
τὰς,τὰς,,6,89.t6,1814
μονάς,μονάς,false,7,89.t7,1815
",",",",,8,89.t8,1816
ὡς,ὡς,,9,89.t9,1817
ὁ,ὁ,,10,89.t10,1818
ἐμὸς,ἐμὸς,,11,89.t11,1819
λόγος,λόγος,false,12,89.t12,1820
",",",",,13,89.t13,1821
ἢ,ἢ,,14,89.t14,1822
οὐδέν,οὐδέν,false,15,89.t15,1823
;,;,,16,89.t16,1824
ἔστι,ἔστι,,1,90.t1,1825
πάντως,πάντως,false,2,90.t2,1826
.,.,,3,90.t3,1827
τί,τί,,1,91.t1,1828
τοῦτο,τοῦτο,false,2,91.t2,1829
;,;,,3,91.t3,1830
τὸ,τὸ,,1,92.t1,1831
διαφόρους,διαφόρους,,2,92.t2,1832
εἶναι,εἶναι,,3,92.t3,1833
πολιτείας,πολιτείας,,4,92.t4,1834
καὶ,καὶ,,5,92.t5,1835
προαιρέσεις,προαιρέσεις,false,6,92.t6,1836
",",",",,7,92.t7,1837
καὶ,καὶ,,8,92.t8,1838
ἄλλην,ἄλλην,,9,92.t9,1839
ἀλλαχοῦ,ἀλλαχοῦ,,10,92.t10,1840
φέρειν,φέρειν,,11,92.t11,1841
κατὰ,κατὰ,,12,92.t12,1842
τὴν,τὴν,,13,92.t13,1843
ἀναλογίαν,ἀναλογίαν,,14,92.t14,1844
τῆς,τῆς,,15,92.t15,1845
πίστεως,πίστεως,false,16,92.t16,1846
",",",",,17,92.t17,1847
ὅπερ,ὅπερ,,18,92.t18,1848
καὶ,καὶ,,19,92.t19,1849
ὁδοὺς,ὁδοὺς,,20,92.t20,1850
ὀνομάζομεν,ὀνομάζομεν,false,21,92.t21,1851
.,.,,22,92.t22,1852
πάσας,πάσας,,1,93.t1,1853
οὖν,οὖν,,2,93.t2,1854
ὁδευτέον,ὁδευτέον,false,3,93.t3,1855
",",",",,4,93.t4,1856
